Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"B12",Absolute Quantification,"ABS","PCH_10_2_JUNE_M",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.23,0,0,15369,0,0,9169,6200,0,15369,,,,,,,,,,,,,,,,,,1,1,4278,0,1089.9,1089.9,"",,,,0.1,0,,,,,,,,,,,,,
"C01",Absolute Quantification,"ABS","INF_COPES_10_4_S",Ch1Unknown,"FAM","Manual",12.6,ddPCR Supermix for Probes (no dUTP),252,,,14.5,10.7,164,15246,,,,,,15410,,,,,,,,,,,,,,,,,,1,1,4021,6537.6,1193.2,1250.1,"",,,,13.6,11.6,,,,,,,,,,,,,
"C02",Absolute Quantification,"ABS","INF_COPES_10_5_S",Ch1Unknown,"FAM","Manual",0.08,ddPCR Supermix for Probes (no dUTP),1.6,,,0.37,0,1,15353,,,,,,15354,,,,,,,,,,,,,,,,,,1,1,3900,6339.6,1175.6,1175.9,"",,,,0.19,0.02,,,,,,,,,,,,,
"C03",Absolute Quantification,"ABS","INF_COPES_10_6_S",Ch1Unknown,"FAM","Manual",0.08,ddPCR Supermix for Probes (no dUTP),1.6,,,0.37,0,1,14995,,,,,,14996,,,,,,,,,,,,,,,,,,1,1,4357,6329.5,1146.2,1146.5,"",,,,0.2,0.02,,,,,,,,,,,,,



"C07",Absolute Quantification,"ABS","BLA_10_1_MARCH_S",Ch1Unknown,"FAM","Manual",6.4,ddPCR Supermix for Probes (no dUTP),128,,,7.9,5.1,78,14286,,,,,,14364,,,,,,,,,,,,,,,,,,1,1,3602,6184.6,1081.5,1109.2,"",,,,7.2,5.7,,,,,,,,,,,,,
"C08",Absolute Quantification,"ABS","BLA_10_1_MARCH_S",Ch1Unknown,"FAM","Manual",4.3,ddPCR Supermix for Probes (no dUTP),86,,,5.5,3.2,56,15402,,,,,,15458,,,,,,,,,,,,,,,,,,1,1,3696,6231.2,1080.4,1099,"",,,,4.9,3.7,,,,,,,,,,,,,
"C09",Absolute Quantification,"ABS","BLA_10_1_MARCH_S",Ch1Unknown,"FAM","Manual",6.5,ddPCR Supermix for Probes (no dUTP),130,,,7.9,5.2,88,15954,,,,,,16042,,,,,,,,,,,,,,,,,,1,1,3838,6251.5,1081.8,1110.1,"",,,,7.2,5.8,,,,,,,,,,,,,
"C10",Absolute Quantification,"ABS","BLA_10_1_MARCH_M",Ch1Unknown,"FAM","Manual",7.2,ddPCR Supermix for Probes (no dUTP),144,,,9.4,5.3,48,7829,48,0,7829,0,0,7877,,,,,,,,7.2E-06,,,1.13E-05,3.1E-06,0.00072,,,0.00113,0.00031,1,1,3035,5239.7,1116.1,1141.2,"",,,,8.3,6.2,,,,,,,1.09E-05,3.5E-06,,,0.00109,0.00035,
"C11",Absolute Quantification,"ABS","BLA_10_1_MARCH_M",Ch1Unknown,"FAM","Manual",6.8,ddPCR Supermix for Probes (no dUTP),136,,,8.8,5.1,52,9007,52,0,9007,0,0,9059,,,,,,,,6.8E-06,,,1.06E-05,2.9E-06,0.00068,,,0.00106,0.00029,1,1,3271,5205.8,1106.9,1130.4,"",,,,7.8,5.9,,,,,,,1.03E-05,3.3E-06,,,0.00103,0.00033,
"C12",Absolute Quantification,"ABS","BLA_10_1_MARCH_M",Ch1Unknown,"FAM","Manual",6.3,ddPCR Supermix for Probes (no dUTP),126,,,7.8,5.1,86,15969,86,0,15969,0,0,16055,,,,,,,,6.3E-06,,,9.7E-06,2.9E-06,0.00063,,,0.00097,0.00029,1,1,3224,5225.2,1110.6,1132.7,"",,,,7,5.7,,,,,,,9.5E-06,3.1E-06,,,0.00095,0.00031,
"D01",Absolute Quantification,"ABS","INF_COPES_10_4_M",Ch1Unknown,"FAM","Manual",13.3,ddPCR Supermix for Probes (no dUTP),266,,,15.3,11.4,175,15349,5,170,317,15032,0.107,15524,,,,,,,,0.54,,,0.64,0.44,35.1,,,39.3,30.9,1,1,4003,6329.2,1176.3,1234.4,"",,,,14.3,12.3,,,,,,,0.59,0.49,,,37.2,33,
"D02",Absolute Quantification,"ABS","INF_COPES_10_5_M",Ch1Unknown,"FAM","Manual",0.16,ddPCR Supermix for Probes (no dUTP),3.2,,,0.5,0.02,2,15135,0,2,6,15129,0,15137,,,,,,,,0.33,,,0.91,0,25,,,58,0,1,1,4170,6510.6,1169.3,1170,"",,,,0.3,0.07,,,,,,,0.62,0.05,,,41,9,
"D03",Absolute Quantification,"ABS","INF_COPES_10_6_M",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.24,0,0,14690,0,0,0,14690,0,14690,,,,,,,,,,,,,,,,,,1,1,4310,0,1155.2,1155.2,"",,,,0.11,0,,,,,,,,,,,,,
"D04",Absolute Quantification,"ABS","UNEX_COPES_10_4_M",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.24,0,0,14944,0,0,851,14093,0,14944,,,,,,,,,,,,,,,,,,1,1,4116,0,1151.5,1151.5,"",,,,0.11,0,,,,,,,,,,,,,
"D05",Absolute Quantification,"ABS","INF_COPES_10_2_M",Ch1Unknown,"FAM","Manual",3150,ddPCR Supermix for Probes (no dUTP),63000,,,3230,3080,12743,937,12696,47,930,7,751,13680,,,,,,,,0.484,,,0.51,0.458,32.6,,,33.8,31.5,1,1,4170,6017.3,1207.4,5687.8,"",,,,3192,3118,,,,,,,0.498,0.471,,,33.2,32,
"D06",Absolute Quantification,"ABS","INF_COPES_10_3_M",Ch1Unknown,"FAM","Manual",173,ddPCR Supermix for Probes (no dUTP),3460,,,181,166,1981,12488,470,1511,3142,9346,0,14469,,,,,,,,0.513,,,0.541,0.485,33.9,,,35.1,32.7,1,1,4494,6269.5,1124,1828.5,"",,,,177.1,169.3,,,,,,,0.527,0.498,,,34.5,33.3,
"D07",Absolute Quantification,"ABS","BLA_10_2_MARCH_S",Ch1Unknown,"FAM","Manual",0.31,ddPCR Supermix for Probes (no dUTP),6.2,,,0.74,0.09,4,15005,,,,,,15009,,,,,,,,,,,,,,,,,,1,1,4072,6397.9,1107.7,1109.2,"",,,,0.5,0.18,,,,,,,,,,,,,
"D08",Absolute Quantification,"ABS","BLA_10_2_MARCH_S",Ch1Unknown,"FAM","Manual",0.08,ddPCR Supermix for Probes (no dUTP),1.6,,,0.38,0,1,14839,,,,,,14840,,,,,,,,,,,,,,,,,,1,1,3993,6303.4,1068.1,1068.5,"",,,,0.2,0.02,,,,,,,,,,,,,
"D09",Absolute Quantification,"ABS","BLA_10_2_MARCH_S",Ch1Unknown,"FAM","Manual",0.07,ddPCR Supermix for Probes (no dUTP),1.4,,,0.35,0,1,15863,,,,,,15864,,,,,,,,,,,,,,,,,,1,1,3930,6336.9,1097.1,1097.4,"",,,,0.18,0.02,,,,,,,,,,,,,
"D10",Absolute Quantification,"ABS","BLA_10_2_MARCH_M",Ch1Unknown,"FAM","Manual",0.34,ddPCR Supermix for Probes (no dUTP),6.8,,,0.79,0.1,4,14005,4,0,11735,2270,0.336,14009,,,,,,,,0.00016,,,0.00032,0,0.016,,,0.032,0,1,1,3507,5444,1107.2,1108.5,"",,,,0.54,0.19,,,,,,,0.00024,8E-05,,,0.024,0.008,
"D11",Absolute Quantification,"ABS","BLA_10_2_MARCH_M",Ch1Unknown,"FAM","Manual",0.34,ddPCR Supermix for Probes (no dUTP),6.8,,,0.91,0.08,3,10274,2,1,8574,1700,0,10277,,,,,,,,0.00016,,,0.00036,0,0.016,,,0.036,0,1,1,3555,5834,1107.7,1109.1,"",,,,0.59,0.18,,,,,,,0.00026,7E-05,,,0.026,0.007,
"D12",Absolute Quantification,"ABS","BLA_10_2_MARCH_M",Ch1Unknown,"FAM","Manual",0.5,ddPCR Supermix for Probes (no dUTP),10,,,1.2,0.2,4,9092,3,1,7272,1820,0,9096,,,,,,,,0.00027,,,0.00055,0,0.027,,,0.055,0,1,1,3319,5961.5,1110.4,1112.5,"",,,,0.83,0.3,,,,,,,0.00041,0.00013,,,0.041,0.013,
"E01",Absolute Quantification,"ABS","INF_COPES_10_4_S",Ch1Unknown,"FAM","Manual",12.1,ddPCR Supermix for Probes (no dUTP),242,,,14.1,10.1,136,13148,,,,,,13284,,,,,,,,,,,,,,,,,,1,1,3967,6339.3,1155.5,1208.5,"",,,,13.1,11.1,,,,,,,,,,,,,
"E02",Absolute Quantification,"ABS","INF_COPES_10_5_S",Ch1Unknown,"FAM","Manual",0.33,ddPCR Supermix for Probes (no dUTP),6.6,,,0.79,0.1,4,14054,,,,,,14058,,,,,,,,,,,,,,,,,,1,1,4008,6137.8,1155.2,1156.6,"",,,,0.53,0.19,,,,,,,,,,,,,
"E03",Absolute Quantification,"ABS","INF_COPES_10_6_S",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.24,0,0,14577,,,,,,14577,,,,,,,,,,,,,,,,,,1,1,4404,0,1131.1,1131.1,"",,,,0.11,0,,,,,,,,,,,,,
"E04",Absolute Quantification,"ABS","W1_BLA",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.32,0,0,10933,0,0,0,10933,0,10933,,,,,,,,,,,,,,,,,,1,1,4593,0,1153.6,1153.6,"",,,,0.15,0,,,,,,,,,,,,,
"E05",Absolute Quantification,"ABS","W3_BLK",Ch1Unknown,"FAM","Manual",0.42,ddPCR Supermix for Probes (no dUTP),8.4,,,0.98,0.13,4,11270,4,0,8759,2511,0.417,11274,,,,,,,,0.00024,,,0.00048,0,0.024,,,0.048,0,1,1,4593,6158.9,1129.7,1131.5,"",,,,0.67,0.24,,,,,,,0.00036,0.00012,,,0.036,0.012,
"E06",Absolute Quantification,"ABS","W4_BRB",Ch1Unknown,"FAM","Manual",0.09,ddPCR Supermix for Probes (no dUTP),1.8,,,0.42,0,1,13380,0,1,39,13341,0,13381,,,,,,,,0.026,,,0.087,0,2.5,,,8.3,0,1,1,4829,6599.7,1119.2,1119.6,"",,,,0.22,0.02,,,,,,,0.054,0,,,5.2,0,
"E07",Absolute Quantification,"ABS","BOO_10_1_JUNE_M",Ch1Unknown,"FAM","Manual",5.1,ddPCR Supermix for Probes (no dUTP),102,,,6.6,3.9,57,13063,57,0,12954,109,5.12,13120,,,,,,,,0.00091,,,0.00115,0.00067,0.091,,,0.115,0.067,1,1,3224,5653.9,1108.6,1128.3,"",,,,5.8,4.5,,,,,,,0.00103,0.00079,,,0.103,0.079,
"E08",Absolute Quantification,"ABS","BOO_10_1_JUNE_M",Ch1Unknown,"FAM","Manual",3.7,ddPCR Supermix for Probes (no dUTP),74,,,5.1,2.6,33,10479,32,1,10346,133,0,10512,,,,,,,,0.00072,,,0.00097,0.00047,0.072,,,0.097,0.047,1,1,3224,5194.2,1045.7,1058.7,"",,,,4.4,3.1,,,,,,,0.00085,0.00059,,,0.085,0.059,
"E09",Absolute Quantification,"ABS","BOO_10_1_JUNE_M",Ch1Unknown,"FAM","Manual",4.6,ddPCR Supermix for Probes (no dUTP),92,,,5.9,3.5,57,14449,56,1,14337,112,0,14506,,,,,,,,0.00081,,,0.00102,0.0006,0.081,,,0.102,0.06,1,1,3366,5763.2,1126.6,1144.8,"",,,,5.3,4,,,,,,,0.00092,0.0007,,,0.092,0.07,
"E10",Absolute Quantification,"ABS","BOO_10_2_JUNE_M",Ch1Unknown,"FAM","Manual",0.39,ddPCR Supermix for Probes (no dUTP),7.8,,,0.85,0.14,5,15119,2,3,6289,8830,0,15124,,,,,,,,0.0006,,,0.0012,0.0001,0.06,,,0.12,0.01,1,1,3602,6103.2,1099.5,1101.1,"",,,,0.59,0.24,,,,,,,0.00089,0.00033,,,0.089,0.033,
"E11",Absolute Quantification,"ABS","BOO_10_2_JUNE_M",Ch1Unknown,"FAM","Manual",0.65,ddPCR Supermix for Probes (no dUTP),13,,,1.23,0.3,8,14380,4,4,6058,8322,0.089,14388,,,,,,,,0.001,,,0.0017,0.0003,0.1,,,0.17,0.03,1,1,3838,6240.8,1090,1092.9,"",,,,0.92,0.45,,,,,,,0.00138,0.00065,,,0.138,0.065,
"E12",Absolute Quantification,"ABS","BOO_10_2_JUNE_M",Ch1Unknown,"FAM","Manual",0.48,ddPCR Supermix for Probes (no dUTP),9.6,,,0.99,0.19,6,14565,3,3,6150,8415,0.0652,14571,,,,,,,,0.0008,,,0.0014,0.0001,0.08,,,0.14,0.01,1,1,3696,6206.9,1088.1,1090.2,"",,,,0.71,0.31,,,,,,,0.00106,0.00044,,,0.106,0.044,
"F01",Absolute Quantification,"ABS","INF_COPES_10_4_M",Ch1Unknown,"FAM","Manual",14.5,ddPCR Supermix for Probes (no dUTP),290,,,16.6,12.4,186,14997,2,184,332,14665,0,15183,,,,,,,,0.55,,,0.65,0.45,35.7,,,39.8,31.5,1,1,4021,6442.6,1182.6,1247,"",,,,15.6,13.4,,,,,,,0.6,0.5,,,37.8,33.6,
"F02",Absolute Quantification,"ABS","INF_COPES_10_5_M",Ch1Unknown,"FAM","Manual",0.15,ddPCR Supermix for Probes (no dUTP),3,,,0.49,0.02,2,15412,0,2,10,15402,0,15414,,,,,,,,0.2,,,0.53,0,17,,,40,0,1,1,4602,6355.4,1156.3,1157,"",,,,0.29,0.07,,,,,,,0.36,0.04,,,28,5,
"F03",Absolute Quantification,"ABS","INF_COPES_10_6_M",Ch1Unknown,"FAM","Manual",0.19,ddPCR Supermix for Probes (no dUTP),3.8,,,0.61,0.03,2,12421,0,2,2,12419,0,12423,,,,,,,,1,,,3.2,0,50,,,100,0,1,1,4168,5929.6,1147.2,1147.9,"",,,,0.36,0.08,,,,,,,2.1,0,,,76,24,
"F04",Absolute Quantification,"ABS","W6_ECH",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.65,0,0,5453,0,0,0,5453,0,5453,,,,,,,,,,,,,,,,,,1,1,4404,0,1112.4,1112.4,"",,,,0.3,0,,,,,,,,,,,,,
"F05",Absolute Quantification,"ABS","W8_SUG",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.66,0,0,5351,0,0,1,5350,0,5351,,,,,,,,,,,,,,,,,,1,1,5087,0,1093.8,1093.8,"",,,,0.3,0,,,,,,,,,,,,,
"F06",Absolute Quantification,"ABS","W9_COM",Ch1Unknown,"FAM","Manual",0.19,ddPCR Supermix for Probes (no dUTP),3.8,,,0.9,0.01,1,6221,0,1,15,6206,0,6222,,,,,,,,0.07,,,0.23,0,6,,,20,0,1,1,4440,4758.6,1115,1115.6,"",,,,0.47,0.05,,,,,,,0.14,0,,,13,0,




"F11",Absolute Quantification,"ABS","NTC_S",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.24,0,0,14942,,,,,,14942,,,,,,,,,,,,,,,,,,1,1,3932,0,1056.9,1056.9,"",,,,0.11,0,,,,,,,,,,,,,
"F12",Absolute Quantification,"ABS","NTC_M",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.25,0,0,14272,0,0,0,14272,0,14272,,,,,,,,,,,,,,,,,,1,1,1321,0,1093.1,1093.1,"",,,,0.11,0,,,,,,,,,,,,,
"G01",Absolute Quantification,"ABS","W11_BLA",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.26,0,0,13532,0,0,0,13532,0,13532,,,,,,,,,,,,,,,,,,1,1,4039,0,1188.1,1188.1,"",,,,0.12,0,,,,,,,,,,,,,
"G02",Absolute Quantification,"ABS","W13_BLK",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.29,0,0,11999,0,0,5531,6468,0,11999,,,,,,,,,,,,,,,,,,1,1,4116,0,1160.9,1160.9,"",,,,0.13,0,,,,,,,,,,,,,
"G03",Absolute Quantification,"ABS","W14_BRB",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.28,0,0,12548,0,0,127,12421,0,12548,,,,,,,,,,,,,,,,,,1,1,4593,0,1137.7,1137.7,"",,,,0.13,0,,,,,,,,,,,,,
"G04",Absolute Quantification,"ABS","W16_ECH",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.29,0,0,12037,0,0,11601,436,0,12037,,,,,,,,,,,,,,,,,,1,1,4829,0,1210.8,1210.8,"",,,,0.13,0,,,,,,,,,,,,,
"G05",Absolute Quantification,"ABS","W17_FAR",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.27,0,0,13225,0,0,19,13206,0,13225,,,,,,,,,,,,,,,,,,1,1,3900,0,1119.3,1119.3,"",,,,0.12,0,,,,,,,,,,,,,
"G06",Absolute Quantification,"ABS","W18_SUG",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.28,0,0,12805,0,0,0,12805,0,12805,,,,,,,,,,,,,,,,,,1,1,4548,0,1081.4,1081.4,"",,,,0.13,0,,,,,,,,,,,,,
"G07",Absolute Quantification,"ABS","W19_COM",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.27,0,0,13003,0,0,17,12986,0,13003,,,,,,,,,,,,,,,,,,1,1,3838,0,1100.4,1100.4,"",,,,0.12,0,,,,,,,,,,,,,
"G08",Absolute Quantification,"ABS","W20_BOO",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.27,0,0,13010,0,0,407,12603,0,13010,,,,,,,,,,,,,,,,,,1,1,3838,0,1089.8,1089.8,"",,,,0.12,0,,,,,,,,,,,,,
"A04",Absolute Quantification,"ABS","UNEX_COPES_10_4_S",Ch2Unknown,"HEX","Manual",64.6,ddPCR Supermix for Probes (no dUTP),1292,,,69.2,60.1,773,13684,,,,,,14457,,,,,,,,,,,,,,,,,,1,1,2265,3459.3,698.23,845.86,"",,,,67,62.3,,,,,,,,,,,,,
"A05",Absolute Quantification,"ABS","UNEX_COPES_10_5_S",Ch2Unknown,"HEX","Manual",4.7,ddPCR Supermix for Probes (no dUTP),94,,,6,3.6,61,15280,,,,,,15341,,,,,,,,,,,,,,,,,,1,1,1986,3418.8,690.88,701.72,"",,,,5.3,4.1,,,,,,,,,,,,,
"A06",Absolute Quantification,"ABS","UNEX_COPES_10_6_S",Ch2Unknown,"HEX","Manual",1.1,ddPCR Supermix for Probes (no dUTP),22,,,1.8,0.6,14,14968,,,,,,14982,,,,,,,,,,,,,,,,,,1,1,2120,3442.8,689.13,691.7,"",,,,1.42,0.83,,,,,,,,,,,,,



"A10",Absolute Quantification,"ABS","PCH_10_1_JUNE_M",Ch2Unknown,"HEX","Manual",11400,ddPCR Supermix for Probes (no dUTP),228000,,,15100,9500,15494,1,18,0,15476,1,1.37,15495,,,,,,,,0.00012,,,0.00018,6E-05,0.012,,,0.018,0.006,1,1,2354,3561.2,701.18,3561,"",,,,12900,10300,,,,,,,0.000152,8.9E-05,,,0.0152,0.0089,
